STT	Style Category	AI Prompt Keywords (Copy-Paste Ready)	CSS/Technical Keywords	Implementation Checklist	Design System Variables	AI Compatibility	Performance Budget	Accessibility Tier	Best For (Product Types)	Dark Mode CSS	Dark Mode Variables	Agent Readiness
23	Pixel Art	Design a pixel art inspired interface with pixelated fonts, 8-bit/16-bit aesthetic, sharp edges, limited color palette (16-32 colors), blocky UI elements, retro gaming feel. Use for nostalgic or gaming-adjacent products.	font-family: 'Press Start 2P'; image-rendering: pixelated; box-shadow: 4px 0 0 #000 (pixel border); no anti-aliasing; crisp-edges	☐ Pixelated fonts loaded ☐ Images sharp (no blur) ☐ CSS box-shadow pixel borders ☐ Retro palette 16-32 colors ☐ Blocky layout ☐ No anti-aliasing ☐ Responsive pixel scaling	--pixel-size: 4px; --font: pixel font; --border-style: pixel-shadow; --anti-alias: none; --color-palette: 16-32 max; --image-rendering: pixelated	Low — niche aesthetic; limited AI integration unless for retro-themed AI games	LCP < 2.0s; Font load < 100ms; Image rendering: crisp-edges; Minimal JS	A (pixel fonts can be hard to read at small sizes)	Gaming, Indie Games, Retro Products, NFT Collections	color-scheme:dark; bg:#0A0A0A; pixel borders #FFF; retro palette on dark; crisp-edges	var(--dark-bg:#0A0A0A); var(--dark-pixel:#FFF); var(--dark-palette:retro-dark); var(--dark-render:crisp)	2/5 niche; limited AI integration
24	AI-Native UI	Design an AI-native interface optimized for conversational AI, streaming responses, agent workflows, and intelligent suggestions. Use: streaming text containers, thinking/loading indicators, confidence scores, source citations, token counters, context windows, tool-use visualization, human-in-the-loop controls.	content-visibility: auto; streaming-text: typewriter effect; skeleton: pulse loading; popover: for citations; scroll-snap: for conversation; container queries; CSS scroll-timeline for progress	☐ Streaming text display ☐ Thinking/loading states ☐ Confidence indicators ☐ Source citations linked ☐ Token usage visible ☐ Context window indicator ☐ Tool-use visualization ☐ Human-in-the-loop controls ☐ Error recovery flows	--streaming-speed: 30-50ms per token; --thinking-indicator: pulse; --confidence-color: green-yellow-red; --citation-style: inline popover; --token-display: compact; --context-window: progress bar; --agent-status: active/idle/error	Essential — this is THE pattern for AI products; every AI interface should start here	LCP < 1.5s; Streaming latency < 100ms; INP < 50ms; WebSocket/SSE required; Minimal layout shifts	AA (ensure streaming text is readable)	AI Chatbot, AI Agent, AI Copilot, Voice AI, AI Writing, AI Code Gen, Personal AI Assistant	color-scheme:dark; bg:#0F172A; streaming on dark; thinking pulse lighter; citations popover dark	var(--dark-bg:#0F172A); var(--dark-streaming:#1E293B); var(--dark-thinking:pulse-light); var(--dark-citation:dark-popover)	5/5 THE pattern for AI products
25	Organic Biophilic	Design a nature-inspired interface with organic shapes, earth tones, natural textures, flowing curves, leaf/plant motifs, warm lighting, sustainable aesthetic. Use SVG for organic shapes, natural color palettes (greens, browns, sky blues), and calming animations.	border-radius: 40-60% for organic shapes; background: earth-tone gradients; clip-path: organic SVG paths; color: #228B22, #8B4513, #87CEEB; animation: gentle sway 4-6s	☐ Organic shapes (SVG clip-path) ☐ Earth tone palette ☐ Natural textures subtle ☐ Flowing curves ☐ Calming animations 4-6s ☐ Sustainable imagery ☐ Low-carbon design practices ☐ Green hosting indicator	--organic-radius: 40-60%; --earth-green: #228B22; --earth-brown: #8B4513; --sky-blue: #87CEEB; --animation: gentle sway 4-6s; --texture: subtle natural; --carbon-aware: true	Medium — natural aesthetic works for sustainability dashboards, wellness AI, and eco-focused products	LCP < 2.0s; SVG optimized < 50KB; Animation: CSS only; Low-carbon web practices	AA (earth tones need contrast verification)	Sustainability/ESG, Climate Tech, Agriculture, Florist, Coffee Shop, Non-profit, Circular Economy	color-scheme:dark; bg:#0A1A10; earth tones deepened; organic shapes on forest-dark; calming	var(--dark-bg:#0A1A10); var(--dark-earth:deepened); var(--dark-organic:forest); var(--dark-calm:true)	3/5 natural aesthetic for sustainability AI
26	Biomimetic / Organic 2.0	Design a biomimetic interface inspired by biological systems: cellular structures, neural networks, DNA helixes, organic growth patterns, bioluminescence effects. Use for biotech, health-tracking, and scientific visualization. Combine organic aesthetics with data precision.	clip-path: complex organic; background: radial-gradient cellular; animation: organic growth; SVG: neural/cellular patterns; filter: glow for bioluminescence; color: biological spectrum	☐ Cellular/neural patterns ☐ Organic growth animations ☐ Bioluminescence effects ☐ Biological color spectrum ☐ Data overlays on organic shapes ☐ Scientific precision maintained ☐ SVG patterns optimized	--cellular-pattern: radial; --neural-color: #6366F1; --bio-glow: subtle; --growth-animation: 2-4s; --data-overlay: precise; --biological-spectrum: warm-cool range	High — biological visualization patterns are ideal for health AI, biotech dashboards, and longevity tracking	LCP < 2.5s; SVG complexity budget: 500 nodes max; Animation: GPU composited; Data refresh: real-time	AA (ensure data readability over organic patterns)	Biotech, Biohacking/Longevity, Neurotech, Healthcare, Emotion AI	color-scheme:dark; bg:#0A0A18; bioluminescence brighter; cellular patterns glow; data precise	var(--dark-bg:#0A0A18); var(--dark-bio:brighter); var(--dark-cellular:glow); var(--dark-data:precise)	4/5 bio visualization ideal for health AI
27	Spatial UI (VisionOS)	Design for spatial computing (VisionOS/XR). Use: frosted glass panels, depth hierarchy (near/mid/far), gaze-friendly targets (60px+), hand tracking affordances, environment-aware transparency, system-consistent materials, window management, ornament patterns.	backdrop-filter: blur(40px); border-radius: 28px; padding: 20px+; min-target: 60px; background: rgba(255,255,255,0.3); depth: z-translation; hover: gaze-highlight	☐ Frosted glass panels ☐ Depth hierarchy (3 layers) ☐ Gaze targets 60px+ ☐ Hand tracking affordances ☐ Environment-aware transparency ☐ System materials used ☐ Window management ☐ Ornament patterns	--glass-blur: 40px; --panel-radius: 28px; --gaze-target: 60px; --depth-near: 0; --depth-mid: -50px; --depth-far: -100px; --material: system glass; --ornament: bottom-attached	High — spatial UI is the future of AI interaction; design for mixed reality AI assistants and spatial agents	LCP < 2.0s; Gaze tracking latency < 50ms; 90 FPS minimum; Spatial audio integration	AA (large targets inherent; ensure depth contrast)	Spatial Computing, VR/AR Apps, Digital Twin, Architecture, Smart Home, AI Assistant	color-scheme:dark; frosted panels on dark env; gaze-highlight brighter; depth enhanced	var(--dark-glass:darker-tint); var(--dark-gaze:brighter); var(--dark-depth:enhanced); var(--dark-material:system-dark)	4/5 spatial UI future of AI interaction
28	E-Ink / Paper	Design a paper-like, low-energy interface inspired by e-ink displays. Use: high contrast black on white, minimal color (1-2 accent max), serif or humanist fonts, generous margins, print-like typography, reduced animations, sustainable low-power aesthetic.	background: #FAFAF8; color: #1A1A1A; font-family: serif or humanist sans; line-height: 1.6-1.8; max-width: 65ch; animation: none or fade only; @media print optimized	☐ Paper-like background ☐ High contrast text ☐ Minimal color (1-2 accents) ☐ Generous margins ☐ Print-optimized typography ☐ No/minimal animations ☐ Print stylesheet included ☐ Low energy consumption	--paper-bg: #FAFAF8; --ink-color: #1A1A1A; --accent: 1-2 colors max; --line-height: 1.7; --max-width: 65ch; --animation: none; --print-ready: true; --energy: minimal	Medium — clean reading experience works for AI-generated long-form content, reports, and documentation	LCP < 1.0s; CLS < 0.01; Total page weight < 100KB; Zero JS for content display	AAA (inherently high contrast)	Documentation, Newsletter, Blog/Magazine, Knowledge Base, Climate Tech, Legal, Reports	Already light-native; dark: bg:#1A1A1A; text:#E8E8E0; paper-dark aesthetic; minimal color	var(--dark-paper:#1A1A1A); var(--dark-ink:#E8E8E0); var(--dark-accent:muted); var(--dark-reading:comfortable)	3/5 clean reading for AI-generated reports
29	Swiss Modernism 2.0	Design a modern Swiss/International style interface with strict grid systems, Helvetica-style typography, mathematical proportions, asymmetric balance, photographic integration, clear information hierarchy. Updated with modern CSS Grid, fluid typography, and responsive design.	display: grid; grid-template: strict proportions; font-family: 'Helvetica Neue', system-ui; font-size: clamp(); line-height: mathematical ratio; gap: proportional; color: limited palette	☐ Strict grid system ☐ Helvetica-style typography ☐ Mathematical proportions ☐ Asymmetric balance ☐ Photo integration ☐ Clear hierarchy ☐ Fluid typography (clamp) ☐ Responsive grid	--grid: strict proportional; --font: Helvetica Neue or system-ui; --typography: fluid clamp(); --proportion: mathematical; --color-palette: limited 3-4; --balance: asymmetric	Medium — structured grid works well for AI-generated reports, data presentations, and professional content	LCP < 1.5s; CLS < 0.05; Font load: system-ui preferred; Grid paint < 16ms	AA+ (clear hierarchy aids readability)	Consulting, Legal, Magazine/Blog, Museum, Architecture, Knowledge Base, Compliance	color-scheme:dark; bg:#0A0A0A; grid:light lines on dark; Helvetica white; proportions unchanged	var(--dark-bg:#0A0A0A); var(--dark-grid:light-lines); var(--dark-text:#F5F5F5); var(--dark-proportion:same)	3/5 structured grid for AI reports
30	Storytelling-Driven	Design a narrative-focused interface with full-screen sections, scroll-driven storytelling, cinematic transitions, immersive imagery, progressive content reveal, emotional pacing. Use scroll-timeline API, view transitions, and intersection observer for narrative flow.	scroll-timeline; view-transition-name; Intersection Observer; scroll-snap-type: y proximity; full-bleed images; animation-timeline: scroll(); container queries for sections	☐ Full-screen sections ☐ Scroll-driven narrative ☐ Cinematic transitions ☐ Immersive imagery ☐ Progressive reveal ☐ Emotional pacing ☐ Scroll-timeline API ☐ View transitions ☐ Reduced motion alternative	--section-height: 100vh; --transition: cinematic 600-800ms; --scroll-snap: proximity; --reveal: progressive; --imagery: full-bleed; --pacing: emotional; --scroll-timeline: enabled	Medium — narrative flow works for AI-powered personalized stories, onboarding, and impact visualization	LCP < 2.5s; CLS < 0.1; Scroll FPS > 60; Image lazy-loading required; View Transitions API	AA (ensure text readable over imagery)	Non-profit, Travel, Brewery/Winery, Portfolio, Creative Agency, Photography, Museum	color-scheme:dark; bg:#000; full-bleed imagery on dark; cinematic transitions; scroll dark	var(--dark-bg:#000); var(--dark-imagery:full-bleed); var(--dark-transition:cinematic); var(--dark-scroll:dark)	3/5 narrative flow for AI personalized stories
31	Social Proof-Focused	Design a trust-building interface centered on social proof: testimonials, ratings, user counts, case studies, trust badges, before/after comparisons, video testimonials, real-time activity feeds. Use structured data for SEO and trust signals.	structured data (JSON-LD); counter animation; star-rating SVG; testimonial carousel; trust-badge grid; real-time feed (WebSocket); schema.org Review markup	☐ Testimonials displayed ☐ Star ratings visible ☐ User/customer counts ☐ Trust badges prominent ☐ Case studies linked ☐ Video testimonials ☐ Real-time activity feed ☐ Structured data (schema.org) ☐ A/B testable	--testimonial-layout: carousel or grid; --rating-color: gold #FFD700; --trust-badge-size: 48px; --counter-animation: 1-2s; --activity-feed: real-time; --schema: Review+AggregateRating	High — social proof is critical for AI product adoption; show AI accuracy rates, user success stories	LCP < 2.0s; CLS < 0.1; Real-time feed: WebSocket; Structured data validated; Image optimization	AA (ensure testimonial text is readable)	Service Landing, Healthcare, E-learning, Dating, Beauty/Spa, Childcare, Membership	color-scheme:dark; bg:#121212; testimonials on dark cards; ratings gold on dark; feed dark	var(--dark-bg:#121212); var(--dark-card:#1E1E1E); var(--dark-rating:#FFD700); var(--dark-feed:dark-surface)	4/5 social proof critical for AI adoption
32	Trust & Authority	Design a credibility-focused interface with professional typography, certification displays, security badges, data transparency, regulatory compliance indicators, executive-style layout, case study integration, ROI calculators. Build institutional trust.	font-family: professional serif + sans; badge-grid: flex; security-indicators: SVG; ROI-calculator: interactive; color: navy + gold + white; border: subtle professional	☐ Professional typography ☐ Certification badges ☐ Security indicators ☐ Data transparency ☐ Compliance badges ☐ Executive layout ☐ Case studies ☐ ROI calculator ☐ Contact prominent	--trust-navy: #1E3A5F; --trust-gold: #D4AF37; --badge-size: 64px; --typography: professional; --layout: executive; --security: visible; --compliance: displayed	Medium — trust signals are essential for enterprise AI adoption; show compliance, audits, and certifications	LCP < 2.0s; CLS < 0.05; Calculator: client-side; Badge SVGs inline; Schema.org Organization	AA+ (professional readability essential)	Legal, Insurance, Banking, Consulting, B2B Service, Government, Compliance/RegTech	color-scheme:dark; bg:#0F1729; navy deepened; gold preserved; badges on dark; professional	var(--dark-bg:#0F1729); var(--dark-navy:deepened); var(--dark-gold:#D4AF37); var(--dark-badge:dark-surface)	3/5 trust signals for enterprise AI
33	Conversion-Optimized	Design a conversion-focused interface with clear CTAs, urgency indicators, pricing tables, comparison matrices, A/B testable components, exit-intent triggers, social proof integration, progress indicators, friction-reducing forms. Optimize for measurable outcomes.	CTA: high contrast button; pricing-table: grid; comparison: table; form: minimal fields; progress: step indicator; exit-intent: Intersection Observer; A/B: data attributes	☐ Clear primary CTA ☐ Urgency indicators ☐ Pricing table clear ☐ Comparison matrix ☐ A/B test ready (data attributes) ☐ Exit-intent trigger ☐ Social proof near CTA ☐ Progress indicators ☐ Minimal form fields	--cta-color: high contrast; --urgency: subtle timer; --pricing-columns: 3-4; --form-fields: minimal; --progress: step indicator; --ab-test: data-variant attribute	High — AI can dynamically optimize CTAs, pricing, and content based on user behavior	LCP < 1.5s; CLS < 0.05; INP < 100ms; Form submission < 200ms; Analytics integration required	AA (CTA contrast critical)	Insurance, Job Board, SaaS, E-commerce, Subscription, Conference, Freelancer Platform	color-scheme:dark; bg:#0F172A; CTA high-contrast on dark; pricing table dark cards; form dark	var(--dark-bg:#0F172A); var(--dark-cta:high-contrast); var(--dark-pricing:dark-cards); var(--dark-form:dark)	4/5 AI can dynamically optimize dark CTAs
34	Data-Dense	Design a data-dense interface for information-heavy dashboards: compact layouts, small multiples, sparklines, heat maps, data tables with sorting/filtering, KPI cards, real-time indicators, drill-down navigation. Optimize for power users and analysts.	display: grid; gap: 8-12px; font-size: 12-14px; table: sortable; sparkline: inline SVG; heatmap: CSS gradient; KPI: card component; overflow: scroll; resize: observer	☐ Compact grid layout ☐ Small multiples ☐ Sparklines inline ☐ Heat maps functional ☐ Sortable/filterable tables ☐ KPI cards prominent ☐ Real-time indicators ☐ Drill-down navigation ☐ Export functionality	--data-gap: 8px; --data-font: 13px; --kpi-card: compact; --sparkline: inline SVG; --heatmap: CSS gradient; --table: sortable; --refresh: real-time; --export: CSV/PDF	Very High — data-dense layouts are essential for AI analytics, model monitoring, and business intelligence	LCP < 2.0s; Data refresh < 500ms; Table render < 100 rows visible; Virtual scrolling for large datasets	AA (small text needs careful contrast)	Analytics Dashboard, Financial Dashboard, AI Governance, Supply Chain, Cybersecurity, Predictive Maintenance	color-scheme:dark; bg:#0A0A0A; cards:#151515; sparklines light; heatmap inverted; KPI dark	var(--dark-bg:#0A0A0A); var(--dark-card:#151515); var(--dark-sparkline:light); var(--dark-heatmap:inverted)	5/5 data-dense essential for AI analytics
35	Cyberpunk UI	Design a cyberpunk-inspired interface with neon accents on dark backgrounds, glitch effects, terminal aesthetics, matrix-style data rain, angular geometric shapes, high-tech borders, scan-line overlays. Combine dystopian aesthetic with functional data display.	background: #0A0A0A; color: #00FF41 or #FF00FF; border: 1px solid neon; text-shadow: neon glow; animation: glitch + scanline; font-family: monospace; clip-path: angular	☐ Neon on dark background ☐ Glitch effects subtle ☐ Terminal aesthetic ☐ Angular shapes ☐ Scan-line overlay ☐ High-tech borders ☐ Matrix-style elements ☐ Functional despite aesthetic ☐ Reduced motion fallback	--cyber-bg: #0A0A0A; --neon-green: #00FF41; --neon-pink: #FF00FF; --glitch: subtle; --scanline: 0.2 opacity; --font: monospace; --clip-path: angular; --border: neon 1px	High — cyberpunk aesthetic is natural for security AI, threat detection, and hacker-tool interfaces	LCP < 2.0s; Glitch animation: CSS only; Scanline: pseudo-element; Neon glow: text-shadow only	A (neon readability requires testing)	Cybersecurity, Fraud Detection, NFT/Web3, Decentralized Identity, Hacker Tools	Already dark-native; neon on #0A0A0A; glitch on black; scan-line subtle; terminal green	Already dark; var(--cyber-bg:#0A0A0A); var(--neon-green:#00FF41); var(--neon-pink:#FF00FF); var(--glitch:subtle)	4/5 cyberpunk natural for security AI
36	Holographic / Iridescent	Design a holographic interface with rainbow iridescent effects, prismatic color shifts, metallic sheens, light-reactive gradients, 3D depth illusion. Use CSS conic-gradient, hue-rotate animations, and metallic color palettes for a futuristic premium feel.	background: conic-gradient(from var(--angle)); animation: hue-rotate 3-5s; filter: brightness(1.1) contrast(1.1); background-blend-mode: overlay; border-image: linear-gradient	☐ Iridescent gradient active ☐ Prismatic color shifts ☐ Metallic sheen effect ☐ Light-reactive animation ☐ 3D depth illusion ☐ Hue-rotate smooth ☐ Text readable over effects ☐ GPU composited	--holo-angle: animated; --hue-rotate: 3-5s; --metallic: silver/gold base; --prismatic: rainbow gradient; --depth: layered; --gpu: composited; --text-contrast: ensured	Medium — holographic effects work for premium AI products, spatial interfaces, and futuristic dashboards	LCP < 2.5s; Hue-rotate FPS > 60; GPU compositing required; Fallback: static gradient	AA (ensure text contrast over shifting colors)	Space Tech, Quantum Computing, Spatial Computing, Luxury Tech, Premium AI Products	color-scheme:dark; holographic on #080810; hue-rotate brighter; metallic on dark; prismatic	var(--dark-bg:#080810); var(--dark-holo:brighter); var(--dark-metallic:dark-base); var(--dark-prismatic:enhanced)	3/5 holographic for premium AI products
37	Gen Z Chaos	Design a chaotic, maximalist interface with clashing colors, overlapping elements, meme-inspired layouts, sticker aesthetics, hand-drawn elements, anti-design principles, intentional visual noise. Controlled chaos that still communicates effectively.	z-index: overlapping; transform: rotate(random); mix-blend-mode: multiply; border: hand-drawn SVG; color: clashing neon; font: mixed weights/styles; position: absolute scattered	☐ Controlled chaos layout ☐ Overlapping elements ☐ Clashing colors intentional ☐ Sticker/meme aesthetic ☐ Hand-drawn elements ☐ Mixed typography ☐ Still navigable ☐ Mobile-responsive chaos ☐ Reduced motion: simplified	--chaos-level: controlled; --overlap: intentional; --colors: clashing neon; --typography: mixed; --elements: sticker-like; --navigation: still clear; --reduced-motion: simplified layout	Low — niche aesthetic for youth-focused AI products and creative platforms	LCP < 2.5s; CLS: intentionally high but controlled; Z-index management critical; Mobile: simplified	A (readability challenging; ensure core content accessible)	Generative Art, Youth Apps, Meme Platforms, Creative Tools, Social Media (Gen Z)	color-scheme:dark; bg:#0A0A0A; chaos neon on dark; stickers on dark; clashing brighter	var(--dark-bg:#0A0A0A); var(--dark-chaos:neon-on-dark); var(--dark-sticker:dark-bg); var(--dark-clash:brighter)	2/5 niche youth-focused AI
38	Component Library UI	Design a component-driven interface using a design system with tokens, variants, slots, and composable primitives. Use: consistent spacing scale (4px grid), semantic color tokens, size variants (sm/md/lg), compound components, Radix/Headless UI primitives.	CSS custom properties; data-attributes for state; :where() for low specificity; @layer for cascade; container queries; gap: token-based; aspect-ratio	☐ Design tokens defined ☐ Component variants (sm/md/lg) ☐ Semantic color tokens ☐ Compound component API ☐ Slot-based composition ☐ :where() specificity ☐ @layer cascade order	--space-1:4px; --space-2:8px; --space-3:12px; --space-4:16px; --radius-sm:4px; --radius-md:8px; --radius-lg:16px; --color-surface: token; --color-text: token	Very High — token-based systems are ideal for AI-driven theme generation and component composition	LCP < 1.5s; CLS < 0.05; CSS < 40KB; Component hydration < 100ms	AA+ (tokens enforce consistency)	Design Systems, SaaS, Enterprise, Developer Tools, AI Platforms	color-scheme:dark; tokens switch via :root.dark; surfaces invert; text lightens; borders mute	var(--dark-surface:token-dark); var(--dark-text:token-light); var(--dark-border:token-muted); var(--dark-accent:token-vivid)	5/5 token systems=perfect AI theming
39	Dashboard Analytics	Design an analytics dashboard with KPI cards, chart grids, data tables, filter bars, date range pickers, real-time indicators, drill-down navigation. Use: 12-column grid, card-based layout, compact typography (13-14px), status colors (green/amber/red).	display: grid; grid-template-columns: repeat(12,1fr); gap: 16px; font-size: 13px; overflow: auto; resize: observer; color: status-semantic; scroll-snap for cards mobile	☐ 12-col grid layout ☐ KPI cards with sparklines ☐ Chart integration (Recharts) ☐ Data table sortable ☐ Filter bar functional ☐ Date range picker ☐ Real-time WebSocket	--grid-cols:12; --card-gap:16px; --data-font:13px; --kpi-height:120px; --chart-height:300px; --status-green:#22C55E; --status-amber:#F59E0B; --status-red:#EF4444	Very High — dashboards are the primary AI monitoring interface; support streaming KPIs and alerts	LCP < 2.0s; Data refresh < 500ms; Table render < 100 rows; Virtual scroll for large datasets	AA (small text needs 4.5:1)	Analytics, AI Governance, Financial, Supply Chain, DevOps, Business Intelligence	color-scheme:dark; bg:#0F172A; cards:#1E293B; text:#F1F5F9; status colors preserved; borders:#334155	var(--dark-bg:#0F172A); var(--dark-card:#1E293B); var(--dark-text:#F1F5F9); var(--dark-border:#334155)	5/5 dashboards=primary AI monitoring UI
40	Chat / Conversational UI	Design a conversational chat interface with message bubbles, typing indicators, read receipts, avatar integration, file attachments, emoji reactions, thread replies, voice messages. Use: bubble radius 18px, alternating alignment, timestamp separation.	border-radius: 18px 18px 4px 18px; gap: 4px; scroll-behavior: smooth; scroll-snap-align: end; position: sticky for input; flexbox column-reverse	☐ Message bubbles styled ☐ Typing indicator animated ☐ Read receipts displayed ☐ Avatars integrated ☐ File upload/preview ☐ Emoji picker ☐ Thread support ☐ Voice message player	--bubble-radius:18px; --bubble-user:#3B82F6; --bubble-other:#E5E7EB; --typing-dot:6px; --input-height:48px; --avatar-size:32px; --timestamp-gap:32px	Essential — chat is the dominant AI interaction pattern; support streaming, tool-use, citations	LCP < 1.5s; Message render < 50ms; Scroll FPS > 60; WebSocket required; INP < 50ms	AA (bubble contrast critical)	AI Chatbot, Customer Support, Team Collaboration, Social, AI Assistant, AI Copilot	color-scheme:dark; bg:#0F172A; user-bubble:#3B82F6; other-bubble:#1E293B; input:#0F172A; border:#334155	var(--dark-bg:#0F172A); var(--dark-user-bubble:#3B82F6); var(--dark-other-bubble:#1E293B); var(--dark-input:#0F172A)	5/5 chat IS the AI interaction paradigm
41	Multi-Step Form / Wizard	Design a multi-step form wizard with progress indicator, step validation, conditional branching, summary review, auto-save draft. Use: horizontal stepper, form sections, inline validation, progressive disclosure, smart defaults.	grid or flexbox stepper; scroll-snap for steps mobile; :valid/:invalid pseudo-classes; fieldset grouping; progress element; transition: slide 300ms	☐ Progress stepper visible ☐ Step-by-step validation ☐ Conditional branching ☐ Summary/review step ☐ Auto-save draft ☐ Inline error messages ☐ Smart defaults	--step-indicator:numbered; --step-active:#3B82F6; --step-complete:#22C55E; --step-gap:8px; --form-width:640px; --validation:inline; --auto-save:true	High — AI can pre-fill fields, suggest corrections, and dynamically adjust form flow	LCP < 1.5s; INP < 100ms; Form submission < 200ms; Auto-save debounce 2s; Validation < 50ms	AA (form labels and errors must be clear)	Insurance, Banking, Onboarding, Healthcare, Legal, Enterprise, E-commerce Checkout	color-scheme:dark; bg:#0F172A; stepper:#1E293B; input-bg:#1E293B; border:#334155; active:#3B82F6	var(--dark-bg:#0F172A); var(--dark-stepper:#1E293B); var(--dark-input:#1E293B); var(--dark-active:#3B82F6)	4/5 AI pre-fill and smart defaults
42	Notification / Alert System	Design a notification system with toast messages, alert banners, badge indicators, notification center, priority levels (info/success/warning/error), stacking, auto-dismiss, action buttons.	position: fixed; z-index: 9999; animation: slide-in 200ms; pointer-events: auto; role: alert; aria-live: polite/assertive; gap: 8px stack	☐ Toast component styled ☐ Priority colors defined ☐ Stacking behavior ☐ Auto-dismiss timer ☐ Action buttons ☐ ARIA live regions ☐ Notification center drawer	--toast-width:360px; --toast-radius:8px; --info:#3B82F6; --success:#22C55E; --warning:#F59E0B; --error:#EF4444; --dismiss:5000ms; --stack-gap:8px	High — AI agents need robust notification for status updates, errors, and completion alerts	INP < 50ms; Toast render < 16ms; Stack limit: 5 visible; Auto-dismiss: 3-8s; ARIA compliant	AA (status colors need 4.5:1 with text)	All products — notifications are universal UX pattern	color-scheme:dark; bg-toast:#1E293B; border:#334155; text:#F1F5F9; status colors slightly brighter	var(--dark-toast:#1E293B); var(--dark-border:#334155); var(--dark-text:#F1F5F9); var(--dark-status:brighter)	4/5 essential for agent status feedback
43	Onboarding / Tour	Design an onboarding experience with welcome screens, feature tours, tooltips, spotlight highlights, progress dots, skip option, personalization questions. Use: overlay masks, spotlight cut-outs, coach marks, step-by-step reveal.	clip-path: circle/polygon for spotlight; backdrop: rgba(0,0,0,0.6); z-index layering; animation: fade-in 300ms; popper.js for positioning; transition: step 400ms	☐ Welcome screen designed ☐ Feature tour tooltips ☐ Spotlight highlights ☐ Progress indicators ☐ Skip option visible ☐ Personalization step ☐ Completion celebration	--overlay-opacity:0.6; --spotlight-radius:8px; --tooltip-width:280px; --progress-dots:true; --step-transition:400ms; --celebration:confetti; --skip-visible:true	High — AI can personalize onboarding flow based on user signals and role detection	Overlay render < 16ms; Step transition 300-400ms; Tooltip positioning < 50ms; Total overlay JS < 20KB	AA (tooltip text must be readable over overlay)	SaaS, AI Platforms, Productivity, E-commerce, Education, Enterprise	color-scheme:dark; overlay:rgba(0,0,0,0.7); tooltip:#1E293B; border:#3B82F6; text:#F1F5F9	var(--dark-overlay:rgba(0,0,0,0.7)); var(--dark-tooltip:#1E293B); var(--dark-border:#3B82F6); var(--dark-text:#F1F5F9)	4/5 AI personalizes onboarding flow
44	Pricing / Comparison	Design a pricing page with tier cards, feature comparison matrix, toggle (monthly/annual), popular badge, CTA hierarchy, FAQ section, money-back guarantee. Use: 3-4 tiers, highlighted recommended, compact feature checks.	display: grid; grid-template-columns: repeat(auto-fit, minmax(280px,1fr)); gap: 24px; position: sticky for header; scroll-snap mobile; border: highlighted tier	☐ 3-4 pricing tiers ☐ Feature comparison grid ☐ Monthly/annual toggle ☐ Popular/recommended badge ☐ CTA hierarchy clear ☐ FAQ accordion ☐ Guarantee badge	--tier-gap:24px; --tier-radius:16px; --popular-border:2px solid #3B82F6; --cta-primary:#3B82F6; --check-color:#22C55E; --toggle-bg:#E5E7EB; --highlight-bg:subtle	High — AI can dynamically recommend tiers based on user needs and usage patterns	LCP < 2.0s; CLS < 0.05; Toggle switch < 50ms; Comparison table scroll FPS > 60	AA (pricing text must be highly readable)	SaaS, AI Platforms, Subscription, Membership, E-commerce, Freelancer	color-scheme:dark; bg:#0F172A; card:#1E293B; popular-border:#3B82F6; CTA:#3B82F6; check:#22C55E	var(--dark-bg:#0F172A); var(--dark-card:#1E293B); var(--dark-popular:#3B82F6); var(--dark-check:#22C55E)	4/5 AI recommends optimal tier
45	Settings / Preferences	Design a settings interface with categorized sections, toggle switches, dropdowns, sliders, search/filter, reset defaults, save confirmation. Use: sidebar navigation, form groups, inline descriptions, danger zone section.	display: grid; grid-template-columns: 240px 1fr; gap: 24px; fieldset grouping; toggle: custom checkbox; slider: input[type=range]; color: danger #EF4444	☐ Sidebar navigation ☐ Toggle switches styled ☐ Dropdowns functional ☐ Sliders with values ☐ Search/filter settings ☐ Reset to defaults ☐ Save confirmation ☐ Danger zone	--sidebar-width:240px; --section-gap:24px; --toggle-active:#3B82F6; --slider-track:#E5E7EB; --danger:#EF4444; --save-confirm:toast; --reset:modal-confirm	High — AI can suggest optimal settings based on user behavior and auto-configure preferences	LCP < 1.5s; INP < 100ms; Toggle response < 50ms; Auto-save debounce 1s; Search < 100ms	AA (toggle states must be perceivable)	SaaS, AI Platforms, Enterprise, Productivity, Developer Tools, Smart Home	color-scheme:dark; bg:#0F172A; sidebar:#1E293B; toggle-track:#334155; active:#3B82F6; danger:#EF4444	var(--dark-bg:#0F172A); var(--dark-sidebar:#1E293B); var(--dark-track:#334155); var(--dark-active:#3B82F6)	4/5 AI auto-configure settings
