No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Animation Timing,Mobile Strategy,Dark Mode,Accessibility,Performance Impact,Conversion Optimization,When NOT to Use
25,Enterprise Gateway,"enterprise, corporate, gateway, solutions, portal, b2b-enterprise, multi-product, segmented, decision-tree",1. Hero (brand video/mission + dual CTA) → 2. Solutions by Industry (tab/grid) → 3. Solutions by Role (persona cards) → 4. Client logos (trust wall) → 5. Case studies preview → 6. Contact Sales CTA,Path selection: 'I am a...' (industry/role selector) routes to relevant content. Contact Sales: primary CTA (sticky). Login: secondary (nav). 'Request Demo': bottom CTA. Case study: 'Read more' per card.,Light: Navy #0F172A + slate palette. Conservative. Gold accents for premium. High integrity design. Logo wall: greyscale. Case studies: white cards. Dark: navy-950 bg. Gold-400 accents. Logos: white. Cards: slate-800.,"Slow-motion video background, logo carousel infinite, tab switching with crossfade, case study card hover lift, path selector animation, scroll-triggered stat counters","Video: 0.5 speed, autoplay muted. Logo carousel: 30s infinite linear. Tabs: content crossfade 200ms. Card hover: translateY(-4px) 200ms. Stats: 2s count-up on scroll. Path selector: slide-down 300ms reveal.",Path selector: dropdown or accordion on mobile. Industry/role: stacked tabs→accordion. Logos: horizontal scroll. Case studies: swipeable cards. Contact Sales: sticky bottom bar. Mega menu: mobile hamburger with sections.,"Navy-950 bg. Slate-100 text. Gold-400 accents. Logo wall: white logos on dark. Cards: slate-800. Conservative, authoritative.","Mega nav: ARIA menu pattern. Path selector: role='listbox'. Stats: aria-label with values. Video: captions, pause control. Logo wall: decorative (aria-hidden) or alt text per logo. Tab panels: standard ARIA tabs.","⚡ Good. Video: compressed, poster first. Logos: optimized SVG. Tabs: minimal JS. Stats: IntersectionObserver. No heavy framework needed.",Path selection reduces bounce (visitors self-segment). 'I am a [role] in [industry]' = personalized journey. Enterprise: lead qualification is the conversion (not signup). Client logos: 5-6 recognizable brands. Case studies: industry-matched. Contact Sales form: fewer fields = more leads.,Don't use for SMB audiences (too corporate). Avoid without real client logos. Not for single-product companies. Skip path selector if <3 distinct segments.
26,Portfolio Grid / Creative Showcase,"portfolio, grid, showcase, gallery, masonry, creative, designer, photographer, agency-work, case-study, projects","1. Hero (name/role + tagline, minimal) → 2. Project grid (masonry layout, filterable) → 3. About/philosophy → 4. Skills/tools → 5. Contact CTA",Project card hover: reveal title + CTA ('View project'). Footer: contact CTA. Filter buttons above grid. Individual project pages linked. About: 'Hire me' / 'Get in touch' CTA.,Light: Neutral bg (white or #FAFAFA) — let work shine. Text: near-black. Accent: minimal (one brand color). Hover overlays: dark 70% + white text. Dark: #0A0A0A bg. Hover: light 20% overlay or glass effect. Minimal UI chrome.,"Image lazy-load with blur-up reveal, hover overlay with slide-in info, lightbox/detail view, masonry layout animation, filter category morph, cursor follower on grid",Blur-up: placeholder 20px→full image 400ms. Hover overlay: opacity 0→1 200ms + text slide-up 30px. Masonry: layout shift 400ms on filter. Filter: items fade-out 200ms→reposition→fade-in 200ms. Lightbox: scale 0.9→1 300ms. Cursor: 60fps follow with lerp.,Grid: single column or 2-column on mobile. No masonry (stack vertically). Filter: horizontal scroll pills. Project cards: full-width images. Tap to view detail (no hover). About: stacked sections.,Dark: natural for portfolios. #0A0A0A bg. Project cards: no bg (image-only). Text: #E5E5E5. Accent: single brand color. Hover: glass overlay.,"Images: alt text per project (descriptive). Filter: aria role='tablist'. Grid: role='list'. Lightbox: focus trap, escape to close. Keyboard: tab between projects. Lazy images: placeholder alt text.","⚠ Moderate. Many images: lazy-load all. Masonry: CSS columns or lightweight JS. Blur-up: tiny placeholder (1KB). Images: WebP, responsive srcset. Lightbox: load full-res on demand. Cursor follower: remove on mobile.",Visuals first — let work speak. Fast loading essential (portfolio visitors have zero patience). Filter by category (helps recruiters/clients find relevant work). 3-4 best projects > 20 mediocre ones. Case study format: problem→process→result. Contact: make it easy.,Don't use for non-visual work. Avoid >20 projects in grid (curate ruthlessly). Not for developer portfolios without visual projects (use project-list pattern instead).
27,Webinar Registration,"webinar, registration, event, training, live, online-event, masterclass, workshop, demo-day, livestream",1. Hero: topic + speaker + countdown + registration form (right side) → 2. What you'll learn (3-5 bullets) → 3. Speaker bio + credibility → 4. Urgency / bonuses → 5. Registration form (repeated),Registration form: right side of hero (desktop) or below hero (mobile). 'Register Now' button. Urgency: 'Limited spots — X remaining'. Bonus: 'Register and get free [bonus]'. Bottom: anchor to form. Confirmation: calendar invite.,"Light: Professional navy/blue. Urgency elements: red/orange countdown. Speaker photo: warm, circular with brand border. Form: white bg, high contrast. Bonus: gold accent. Dark: slate-900. Countdown: red-400 digits. Speaker: brand-500 ring. Form: slate-800.","Countdown timer (days/hours/minutes/seconds), speaker photo gentle float, urgency ticker ('X spots remaining' updating), form validation animation, registration success celebration, calendar add animation",Countdown: flip 500ms per digit change. Speaker float: translateY 4px 3s infinite. Urgency ticker: number morph 300ms. Form validation: inline checkmark 200ms. Success: confetti 500ms + calendar icon slide-in. Bonus reveal: scale-in 300ms.,Form: full-width below hero (stacked). Speaker: circular photo above bio. Countdown: compact horizontal. Bullets: simple list. Urgency: bottom sticky bar with countdown + register button. Calendar: native calendar integration.,"Slate-900 bg. Countdown: red-400 on slate-800 cards. Speaker ring: brand-400. Form: slate-800, inputs slate-700. Success: green-400.","Countdown: aria-live='polite'. Form: proper labels, required fields. Speaker image: alt text. Registration: success confirmation screen-reader friendly. Timer: aria-label with time remaining.",⚡ Excellent. Countdown: lightweight JS. Form: native HTML. No heavy framework. Speaker image: optimized. Urgency: CSS animation.,Limited seats creates urgency (even if virtual). 'Live' indicator builds excitement. Speaker credibility drives registration. Bonus offer: +25% conversion. Auto-timezone detection. Reminder sequence: email 24h + 1h before. A/B test: with vs without countdown. Recording availability reduces urgency.,Don't use for on-demand content (no urgency). Avoid 'limited seats' for obviously unlimited virtual events (dishonest). Not for evergreen content (use course landing pattern).
28,Product Review / Rating Focused,"reviews, ratings, testimonials, social-proof, stars, ugc, user-generated, customer-reviews, trust, validation","1. Hero: product + aggregate rating (4.8★ from 2,500 reviews) → 2. Rating breakdown (bar chart: 5★ to 1★) → 3. Review filters (verified, most helpful) → 4. Individual review cards → 5. Buy/CTA alongside reviews",Buy button: sticky sidebar alongside reviews (desktop) or sticky bottom bar (mobile). Rating summary: 'See all reviews' link. Individual review: 'Helpful?' Yes/No. Write review: CTA for customers. Comparison: 'vs competitors' link.,"Light: Star ratings: amber-400 (#FBBF24). Verified badge: green-500. Rating bars: brand-500 fill on slate-200 track. Review cards: white. Helpful: green-500 thumb up. Sentiment: positive green, negative red, neutral grey. Dark: stars: amber-400. Cards: slate-800. Bars: brand-400.","Star fill animation left→right, rating bar fill on scroll, review filtering smooth transition, helpful vote animation (thumb bounce), photo lightbox, verified badge pop-in, sentiment indicator color",Stars: fill 150ms stagger per star. Bars: width fill 800ms stagger 100ms on scroll-in. Filter: cards fade-out 200ms→reposition→fade-in 200ms. Helpful: thumb scale 1→1.3→1 200ms + counter increment. Photo lightbox: scale 0.9→1 300ms. Badge: pop-in 200ms.,Sticky bottom buy bar with price + stars + CTA. Reviews: single column cards. Filters: horizontal scroll pills. Photos: horizontal scroll thumbnails. Rating breakdown: compact. Helpful: large touch targets.,Cards: slate-800. Stars: amber-400. Bars: brand-400 on slate-700. Verified: green-400. Helpful: green-400/red-400.,Stars: aria-label 'Rated X out of 5'. Rating bars: role='progressbar'. Review text: semantic markup. Helpful: aria-label 'Mark as helpful'. Photos: alt text. Filter: accessible listbox.,⚡ Good. Reviews: paginated or virtual scroll for many. Images: lazy-load thumbnails. Star SVGs: lightweight. Filter: minimal JS.,UGC builds trust more than marketing copy. Show verified purchases. Photo reviews: 2x more helpful votes. Filter by rating helps (even showing negatives builds trust). Respond to negative reviews. Star rating in hero: immediate trust signal. A/B test: reviews above vs below product info.,Don't use without real reviews. Avoid filtering out negative reviews (looks fake). Not for new products with <10 reviews (looks empty). Skip if ratings are below 3.5 (fix product first).
29,Community / Forum Landing,"community, forum, social, members, discussion, discord, circle, group, tribe, hub, network",1. Hero: community value prop + join CTA → 2. Popular topics/channels → 3. Active discussions preview → 4. Member showcase (photos + count) → 5. Benefits of joining → 6. Join CTA (repeated),"Join button: hero (primary, large) + after member showcase + bottom. Activity feed: 'Jump in' per discussion. Topics: click to preview. 'Already a member? Log in' secondary. Mobile: sticky bottom 'Join' bar.","Light: Warm, welcoming palette. Brand primary for actions. Member photos add humanity. Topic badges: category-colored. Activity indicators: green-500 online. Discussion cards: white on slate-50. Dark: warm slate-900. Member photos: ring brand-400. Topics: colored badges on dark. Activity: green-400.","Member avatar stagger animation, activity feed live ticker, topic hover preview, join celebration (confetti + welcome), member count tick-up, discussion card hover reveal, online indicator pulse",Avatars: stagger pop-in 50ms from left. Activity feed: new items slide-in 300ms from top. Topic hover: preview card fade-in 200ms. Join success: confetti 500ms + modal with welcome message. Counter: 1.5s count-up. Online pulse: scale 1→1.3 2s infinite subtle.,Topics: horizontal scroll pills. Discussions: card list (single column). Members: avatar strip (horizontal scroll). Benefits: icon list. Join: full-width CTA at multiple scroll points. Activity: condensed feed.,"Warm dark: slate-900 with warm accent. Cards: slate-800. Avatars: brand-400 rings on dark. Topics: colored badges on slate-800. Activity: green-400 pulse. Welcoming, not cold.",Activity feed: aria-live='polite'. Topics: aria role='list'. Discussions: article landmark. Join form: proper labels. Member photos: alt text with names. Online count: aria-label. Feed updates: polite announcement.,"⚡ Good. Static page with dynamic feel (CSS animations). Activity feed: pre-rendered, not live. Avatars: small optimized images. No real-time WebSocket needed for landing (fake it with CSS).","Show active community (member count, daily posts). 'Preview' content before joining reduces anxiety. Member photos = social proof. Activity feed: makes community feel alive. Benefits: what members get (not features). Easy onboarding: one-click join. A/B test: with vs without activity feed preview.",Don't use without genuine activity to show. Avoid fake member counts. Not for brand-new communities with <50 members (build critical mass first via invite-only).
30,Split Hero / Two-Panel,"split, hero, two-panel, side-by-side, asymmetric, visual-text, modern, balanced, duo, 50-50",1. Split hero (left: text + CTA / right: visual) → 2. Trust logos bar → 3. Features (alternating split sections) → 4. Social proof → 5. Bottom CTA,Left panel of hero: headline + subtext + primary CTA + secondary CTA (ghost). Sticky nav CTA. Feature sections: CTAs per section ('Learn more →'). Bottom: repeat hero CTA with urgency.,Light: Left panel: white bg. Right panel: brand-50 or product screenshot. Features: alternate white/slate-50 bg per section. CTA: brand-600. Dark: left: slate-900. Right: brand-900 tint or product on dark. Features: slate-900/slate-850 alternating.,Hero visual: subtle float animation or parallax. Feature sections: slide-in from alternating sides on scroll. Trust logos: fade-in stagger. CTA: scale + shadow on hover. Mobile: stack with image above text.,"Hero visual: float translateY 8px 4s infinite ease-in-out. Feature slide-in: 500ms from left/right alternating, IntersectionObserver threshold 0.2. Logos: opacity 0→1 stagger 100ms. CTA hover: scale(1.02) 150ms + shadow-xl.","Stack: image/visual above headline on mobile. Full-width both panels. Features: image above text per section. Maintain reading order: visual context first, then explanation. Bottom CTA: full-width.",Left: slate-900. Right: brand-900 tint or product with dark chrome. Features: slate-900/850. CTA: brand-400.,Hero: reading order (text before visual in DOM for screen readers). Feature images: descriptive alt text. Alternating layout: consistent heading hierarchy. CTA: descriptive text.,"⚡ Excellent. CSS grid/flexbox. Hero image: optimized, responsive srcset. Feature images: lazy-load below fold. No heavy JS. Fast paint.","Split layout creates visual balance and breathing room. 50/50 split: product visual gets equal weight to copy. Alternating sections: creates rhythm, easy scanning. Works for any product type. A/B test: image left vs image right in hero (usually image-right converts better for LTR readers).",Don't use for text-heavy value props without strong visuals. Avoid if product visual is weak. Not for content-heavy pages (splits waste horizontal space on dense info).
31,Product-Led Growth (PLG) ✦NEW,"plg, product-led, growth, free-trial, self-serve, try-before-buy, onboarding, activation, freemium, sign-up-free",1. Hero: value prop + 'Start Free' CTA (no credit card) → 2. Interactive demo / sandbox preview → 3. Social proof (logos + usage stats) → 4. How it works (3 steps to value) → 5. Features unlock (free vs paid comparison) → 6. 'Start Free' (repeated),'Start Free — No credit card required' as hero CTA (largest on page). Demo: 'Try in browser'. Features: 'Unlock with Pro'. Bottom: 'Start Free' repeat. Zero friction: email-only signup or OAuth buttons. In-product upgrade nudges.,"Light: Clean, product-focused. Brand primary for CTAs. Demo area: subtle bg #F8FAFC. Pricing comparison: green highlights for free tier. Upgrade: gold/brand accent. Dark: slate-900. Demo: slate-800. Free: green-400 badge. Pro: brand-400 badge.","Demo embed (live product iframe or interactive mockup), OAuth button animations, feature unlock preview (blur→clear on upgrade), usage counter animation, onboarding step progress, activation milestone celebrations",Demo load: skeleton 1.5s→content fade-in 300ms. OAuth buttons: slide-in stagger 100ms. Feature unlock: blur(10px)→blur(0) 500ms on hover preview. Usage counter: 1.5s count-up. Milestone: badge pop-in 300ms + subtle confetti.,CTA: full-width 'Start Free' prominent. Demo: simplified or screenshot on mobile. OAuth: stacked buttons full-width. Features: free/paid comparison cards stacked. Zero friction: minimal form fields.,Demo: works on dark naturally (product embeds). CTA: brand-400 on slate-900. Feature comparison: slate-800 cards. Free badge: green-400. Pro: brand-400.,"'No credit card' text: visible, not hidden. OAuth: proper ARIA labels. Demo: accessible or link to full experience. Feature comparison: semantic table. Signup: proper form markup.",⚠ Moderate. Demo embed: lazy-load iframe. OAuth: lightweight SDKs. Product preview: optimize for fast interactive. Target: <3s to 'Start Free' interaction.,Remove all friction to first value moment. 'No credit card' = 30% more signups. OAuth (Google/GitHub) = 50% less friction than email forms. Interactive demo: show value before signup. Activation metrics > vanity metrics. A/B test: with vs without demo. Conversion: signup→activation→upgrade funnel.,Don't use without a self-serve product. Avoid if product requires setup/training. Not for enterprise-only products. Skip if free tier is not genuinely useful.
32,Social Proof Wall ✦NEW,"social-proof, wall, testimonials, logos, reviews, tweets, ugc, wall-of-love, trust-wall, endorsements, press","1. Hero (bold claim + CTA) → 2. Logo wall (trusted by) → 3. Metric counters (users, revenue saved, etc) → 4. Testimonial masonry grid (mixed: quotes, tweets, videos, screenshots) → 5. Press mentions → 6. CTA ('Join them')","Hero: primary CTA. After logo wall: 'See why they chose us'. After testimonial wall: 'Join X,000 companies'. Bottom: final CTA with strongest testimonial quote alongside. Every CTA: social proof context.",Light: White bg for testimonials (content-first). Logo wall: greyscale #94A3B8. Metric counters: brand-600 numbers. Tweet embeds: native styling. Press: dark logos. Dark: slate-900. Logo wall: white logos. Cards: slate-800. Tweets: dark embed theme.,"Logo carousel infinite scroll, counter count-up on scroll, testimonial masonry load stagger, tweet embed fade-in, video testimonial play button pulse, press logo hover color reveal",Logo carousel: 25s infinite linear. Counters: 2s count-up IntersectionObserver. Masonry: stagger fade-up 100ms per card on scroll. Tweets: fade-in 300ms. Video play: pulse 2s infinite. Press hover: greyscale→color 200ms.,Logo wall: horizontal scroll ticker. Metrics: 2-column grid. Testimonials: single column cards. Press: horizontal scroll logos. Video: thumbnail→play on tap. CTA: sticky bottom bar.,Logo wall: white logos on slate-900. Cards: slate-800. Metrics: brand-400 numbers. Tweet embeds: dark mode. Press: white logos.,Logo wall: aria-hidden (decorative) or alt text. Metrics: aria-label with full numbers. Testimonials: blockquote with cite. Videos: captions. Carousel: pause on focus.,⚡ Good. Logos: SVG optimized. Testimonial images: lazy-load. Tweets: static screenshots (no embed JS). Video: poster first. Counter: IntersectionObserver.,"Social proof is the most powerful conversion lever. Mix formats: text quotes, tweets, video clips, screenshots. Show recognizable logos first. Metrics: specific numbers beat round numbers ('10,847' > '10,000+'). Press mentions add authority. A/B test: social proof above vs below features.",Don't use without genuine social proof. Avoid if logos/testimonials look manufactured. Not for stealth/pre-launch. Skip if total testimonials <6 (looks sparse in wall format).
33,Glassmorphism / Modern SaaS ✦NEW,"glassmorphism, glass, blur, modern, saas, frosted, translucent, premium-feel, backdrop-blur, 2024-design, trendy",1. Hero: gradient mesh bg + glass card (headline + CTA) → 2. Feature cards (glass effect) → 3. Dashboard preview (glass overlay UI) → 4. Testimonials → 5. Pricing (glass cards) → 6. Footer CTA,Hero glass card: primary CTA. Feature cards: 'Learn more →'. Dashboard preview: 'Try it free'. Pricing: per-card CTAs. All CTAs: solid brand color (not glass — CTAs must be clear and opaque).,Light: Bg: gradient mesh (brand-100→purple-50→cyan-50). Glass cards: bg-white/70 backdrop-blur(20px) border-white/30. CTA: solid brand-600 (never glassy). Text: slate-900 on glass. Dark: bg mesh: brand-950→purple-950→slate-950. Glass: bg-white/10 backdrop-blur(20px) border-white/10. CTA: solid brand-400.,"Glass card hover: bg-white/80 (brighten), subtle border glow, gradient mesh background animation (slow morph), dashboard UI elements float, frosted panel slide-in, light refraction on glass edges",Glass hover: bg-opacity 200ms. Mesh animation: 20s infinite ease morph (CSS @keyframes moving gradients). Dashboard float: translateY 8px 5s infinite per element staggered. Panel slide: from-bottom 400ms + backdrop-blur ramp-up. Border glow: box-shadow 200ms.,Glass effects: KEEP on mobile (they work well). Reduce mesh animation complexity (fewer gradient stops). Glass cards: full-width stacked. Dashboard: static screenshot (no float animation). Ensure text readability on all backgrounds.,Glass on dark = premium. Bg: dark gradient mesh. Cards: bg-white/5 border-white/10 backdrop-blur-xl. Text: white/90. CTA: solid brand-400. Natural premium dark mode.,"Glass: ensure text contrast meets WCAG AA minimum (4.5:1). Test readability on all gradient positions. CTAs: always solid (never transparent). Reduced motion: static glass cards, no mesh animation. High contrast mode: solid backgrounds.",⚠ Moderate. backdrop-filter: GPU-accelerated but costs paint. Limit glass layers (max 3-4 simultaneous). Mesh animation: CSS-only (no JS). Test on low-end devices. Fallback: solid color with opacity for non-supporting browsers.,"Glass morphism signals 'modern tech product'. Premium perception. Works best for SaaS, AI, fintech. CTA must be opaque and high-contrast (glass CTA = invisible CTA = zero conversion). A/B test: glass vs solid cards. Gradient mesh: use brand colors (builds identity).",Don't use for enterprise/corporate (too trendy). Avoid if text readability suffers. Not for content-heavy pages (glass behind long text is hard to read). Skip if target audience uses older browsers (backdrop-filter support).
34,Changelog / What's New ✦NEW,"changelog, whats-new, updates, release-notes, announcements, feature-launch, roadmap, version-history, product-updates","1. Hero: latest update (featured, large) → 2. Timeline of recent updates (cards, reverse-chronological) → 3. Categories (New, Improved, Fixed) → 4. Upcoming roadmap preview → 5. Subscribe to updates CTA",Latest update: 'Try it now' CTA. Each update: link to feature. Roadmap: 'Vote on next feature'. Subscribe: email form for update notifications. Bottom: 'See all updates' archive link.,Light: Timeline: left border brand-500. New: green-500 badge. Improved: blue-500 badge. Fixed: amber-500 badge. Cards: white on #FAFAFA bg. Dates: slate-400. Dark: timeline border: brand-400. Cards: slate-800. Badges: green-400/blue-400/amber-400. Dates: slate-500.,"Timeline draw on scroll, card stagger fade-in, badge pop-in, featured update hero slide-in, roadmap progress bars, subscribe form validation, category filter animation",Timeline border: draw-down on scroll (stroke-dashoffset). Cards: fade-up 400ms stagger 100ms. Badges: scale 0→1 200ms bounce. Featured: slide-in 500ms from left. Roadmap bars: width fill 800ms. Filter: cards fade 200ms→reposition→fade 200ms.,Timeline: left border simplified or hidden. Cards: full-width stacked. Categories: horizontal scroll filter pills. Featured: full-width hero card. Subscribe: sticky bottom or inline. Date grouping: sticky date headers.,Timeline border: brand-400 on slate-900. Cards: slate-800. Badges: colored on dark bg. Dates: slate-500. Clean dark editorial feel.,Timeline: aria-label='Product updates timeline'. Cards: article landmark. Badges: aria-label with category. Dates: time element. Filters: aria role. Subscribe: form accessibility.,⚡ Excellent. Static content. Timeline: CSS-only. Cards: HTML. Filter: minimal JS. No heavy framework. Fast page.,Changelogs build trust and engagement. Show momentum (frequent updates = active product). Category badges help scanning. Featured update: drives re-engagement. Subscribe: keeps users coming back. Roadmap: builds anticipation and reduces churn. A/B test: with vs without roadmap preview.,Don't use without regular updates to show. Avoid if update frequency is <1/month. Not for consumer products (users don't care about changelogs). Skip if updates are mostly bug fixes (looks bad).
35,Case Study / Success Story ✦NEW,"case-study, success-story, customer-story, results, roi, impact, transformation, proof, enterprise-proof, outcome",1. Hero: customer logo + headline result ('How [Company] achieved X') → 2. Challenge (the problem) → 3. Solution (your product implementation) → 4. Results (metrics with counters) → 5. Customer quote (video or text) → 6. CTA ('Get similar results'),Hero: 'Read full story' anchor. After results: 'Get similar results' CTA. Quote section: 'Talk to sales' CTA. Bottom: 'See more case studies' + primary CTA. Sidebar: sticky summary card with key metrics + CTA.,"Light: Professional, editorial. Customer brand color as accent (respect their brand). Metrics: brand-600 numbers. Quote: brand-50 bg. Challenge: warm/red tint. Solution: brand tint. Results: green tint. Dark: slate-900. Metrics: brand-400. Quote: slate-800. Section tints: subtle.","Metric counter count-up, challenge→solution→results scroll progression, customer video play, quote marks animation, results chart animation (bar/line grow), parallax customer photos",Counters: 2s count-up on scroll. Progression: color-coded sections fade-in 500ms. Video play: pulse 2s. Quote marks: scale 0→1 300ms. Chart bars: grow from bottom 800ms stagger 100ms. Photos: parallax 0.3 ratio.,Single column narrative. Metrics: horizontal scroll cards or 2-column grid. Video: full-width. Quote: large pull-quote. Sticky bottom CTA bar. Summary card: hide on mobile (content inline).,Slate-900 bg. Metric cards: slate-800. Chart: brand-400 bars on dark. Quote: slate-800 bg. Video: dark player. Editorial dark feel.,Metrics: aria-label with values. Video: captions. Quote: blockquote with cite. Charts: aria-label + data table alternative. Images: alt text. Heading hierarchy: proper h1-h3.,⚡ Excellent. Static content page. Counters: IntersectionObserver. Charts: CSS-only or lightweight. Video: lazy-load. No framework needed.,Case studies = highest-trust content for B2B. Specific metrics beat vague claims ('312% ROI' > 'great results'). Customer video testimonial: 2x engagement. Show timeline: problem→solution→results narrative. Link to related case studies. Gate behind form for lead generation (controversial but effective).,Don't use without customer permission. Avoid vague results. Not for B2C (testimonials are enough). Skip if metrics aren't impressive (wait for better outcomes).
36,Comparison / Alternative Page ✦NEW,"comparison, alternative, vs, versus, competitor, switch, migrate, compare-tools, head-to-head, knockout",1. Hero: 'Best [Competitor] Alternative' or '[You] vs [Competitor]' → 2. Quick verdict (3 key differentiators) → 3. Side-by-side comparison table → 4. Feature deep-dive (your advantages) → 5. Migration guide → 6. Switch CTA,Hero: 'Switch Now' CTA. After comparison: 'Start Free' CTA. Migration section: 'Import from [Competitor] in 1 click'. Bottom: urgency CTA. Competitor-specific CTAs: 'Coming from [X]? Here's what's different'.,"Light: Your column: brand-50 highlight with brand-500 header. Competitor: neutral slate-50, muted header. Wins: green-500 checkmarks. Losses: honest, slate-400 text. Migration: green-50 bg (positive action). Dark: your column: brand-900. Competitor: slate-800. Wins: green-400. Migration: green-900.","Winner badge animation per row, comparison table row highlights, feature checkmark stagger, migration step progress, switching CTA pulse, competitor logo greyscale→color on your column",Winner badge: pop-in 200ms. Row highlight: bg 150ms on hover. Checkmarks: draw 200ms stagger 50ms on scroll. Migration steps: sequential reveal 300ms each. CTA pulse: scale 1→1.03 2s subtle infinite.,Table: card-per-competitor view (stacked). Or horizontal scroll with sticky your-column. Migration steps: vertical list. Quick verdict: above table on mobile. Switch CTA: sticky bottom bar.,Your column: brand-900 accent. Competitor: slate-800. Table: slate-800/850 alternating. Wins: green-400. Migration: green-900 bg.,Table: proper HTML table. Checkmarks: aria-label. Competitor logos: alt text. Migration steps: ordered list. Accessible comparison for screen readers.,"⚡ Excellent. Static content. Table: CSS responsive. Checkmarks: SVG. No heavy JS. Fast, SEO-focused page.",Comparison pages capture competitor search traffic (high intent). Be factual and honest. Show where competitor wins too (builds trust). Migration ease reduces switching friction. 'Import your data in 1 click' = powerful. Create per-competitor comparison pages. A/B test: table vs narrative format.,Don't use if you lose most comparisons. Avoid dishonest comparisons. Not for category-creators. Be careful of competitor legal issues. Update regularly as competitors change.
37,Interactive Calculator / ROI ✦NEW,"calculator, roi, savings, estimator, cost-comparison, value-calculator, pricing-calculator, custom-quote, configurator","1. Hero: 'Calculate your savings' + calculator → 2. Interactive calculator (sliders + inputs) → 3. Results panel (real-time, visual) → 4. Comparison (current cost vs your product) → 5. CTA ('Get these savings')","Calculator inputs: instant results on change (no submit button). Results panel: 'Get Started' CTA with calculated value ('Save $X,XXX/year — Start Free'). Bottom: personalized CTA using calculator output. 'Email my results' as lead capture alternative.","Light: Calculator: white card + subtle shadow on #F8FAFC bg. Sliders: brand-500 track. Results: green-500 for savings, brand-600 for your cost. Chart: brand/green palette. Dark: calculator: slate-800. Sliders: brand-400 track on slate-700. Results: green-400 savings. Chart: bright on dark.","Slider thumb drag interaction, real-time results counter animation, savings chart grow animation, comparison bar race animation, confetti on big savings, email results form animation, personalized CTA text morph",Slider: real-time value update (no debounce). Results counter: 300ms morph on input change. Chart: bar grow 500ms on value change. Comparison: bar widths transition 400ms. Confetti: trigger when savings >$1000. CTA text: crossfade 200ms with new value.,Calculator: stacked inputs (full-width sliders). Results: below calculator (stacked). Chart: simplified (numbers > charts on mobile). Sliders: large thumb (44px). CTA: full-width with calculated value. 'Email results': full-width form.,Calculator card: slate-800. Sliders: brand-400 on slate-700. Results: green-400 savings. Chart: bright colors on dark. CTA: brand-400 with calculated value.,Sliders: role='slider' aria-valuemin/max/now. Results: aria-live='polite'. Chart: aria-label with values. Inputs: proper labels. CTA: descriptive text with calculated amount. Keyboard: slider arrow-key control.,⚡ Excellent. Lightweight JS for calculations. No framework needed. Charts: CSS-only bars. Sliders: native range inputs styled. Real-time: vanilla JS event listeners.,Interactive calculators generate 2x more qualified leads than static content. Personalized savings amount in CTA = highest conversion. 'Email my results' captures leads without hard sell. Show specific numbers (not ranges). Default values should show impressive but realistic savings. A/B test: calculator position (hero vs below fold).,Don't use without accurate calculation logic. Avoid if savings are minimal (embarrassing). Not for products without measurable ROI. Skip if inputs are too complex (>5 sliders = abandonment).
38,Multi-Product / Platform Landing ✦NEW,"multi-product, platform, suite, ecosystem, product-family, hub, portfolio, solutions, integrated, all-in-one",1. Hero: platform vision + CTA → 2. Product grid/cards (each product as a card) → 3. Integration/connection visualization → 4. Use case scenarios → 5. Enterprise CTA + Individual product CTAs,Platform hero: 'Explore the platform'. Individual product cards: 'Learn more about [Product]'. Integration: 'See how they work together'. Use cases: 'Start with [use case]'. Enterprise: 'Contact Sales for platform pricing'. Each card links to product-specific landing.,"Light: Each product: distinct color within brand family (blue, purple, teal, orange). Platform: brand primary. Cards: white with colored top-border per product. Integration visual: connecting lines brand-500. Dark: products: colored accents on slate-800 cards. Integration lines: brand-400. Bg: slate-900.","Product card hover lift + color intensify, integration lines animate (connecting dots), use case tab switching, platform diagram build animation, product icon morph, ecosystem orbit animation",Card hover: translateY(-4px) 200ms + border-top-color intensify. Integration lines: stroke-dashoffset draw on scroll 600ms. Tab switch: crossfade 200ms. Diagram: sequential node appear + line draw 100ms stagger. Orbit: 20s infinite rotation (subtle).,Product cards: horizontal scroll or stacked. Integration: simplified diagram or list. Use cases: accordion. CTA: sticky bottom 'Explore Platform'. Each product card: full-width on mobile with icon + description.,Platform: slate-900. Product cards: slate-800 with colored left-border. Integration: brand-400 lines on dark. Diagram: bright nodes on dark. Distinct but cohesive.,Product cards: role='article'. Integration diagram: aria-label description or data table alternative. Tabs: standard ARIA tab pattern. Diagram: fallback text description. Each product: accessible link.,⚡ Good. Static cards + minimal JS. Integration diagram: CSS/SVG. Tabs: lightweight. No heavy framework needed unless diagram is complex.,Platform story > individual products. Show integration value ('better together'). Use cases: help visitors self-segment. Product cards: clear value prop per product. Enterprise: qualify leads for platform deals. Free tier: lower barrier to enter ecosystem. A/B test: platform-first vs product-first messaging.,Don't use for single-product companies. Avoid if products don't integrate well. Not for early-stage with <2 products. Skip if products serve completely different audiences.
